"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration"
180,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","null",0,4,0,-6,1200,"ci","10",22,7.776
181,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","4",1,7,0,-2,1320,"ci","10",4,16.859
182,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","3,9",2,7,0,-1,1480,"ci","10",17,13.036
183,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","3,4,9,1",4,6,0,0,1680,"ci","10",30,7.262
184,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","4,7,8,9,5",4,4,-1,-1,1640,"ci","10",12,12.808
185,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","6,3",2,5,0,-3,1720,"ci","10",25,17.755
186,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","null",0,5,0,-5,1720,"ci","10",7,7.484
187,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","4,9,6,8",3,4,-1,-2,1640,"ci","10",20,18.675
188,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","9,5,2",3,4,0,-3,1720,"ci","10",2,6.095
189,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","5",1,9,0,0,1920,"ci","10",15,3.354
190,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","7,6,10",2,3,-1,-4,1760,"ci","10",28,7.959
191,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","6,10",2,4,0,-4,1800,"ci","10",10,8.075
192,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","5,6,3,7",4,5,0,-1,1960,"ci","10",23,5.036
193,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","6,5,9",3,3,0,-4,2000,"ci","10",5,5.883
194,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","5,6",1,7,-1,-1,1960,"ci","10",18,12.507
195,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","8,5,2,6",4,1,0,-5,1960,"ci","1",13,37.184
196,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","6,5,3,1",4,3,0,-3,2040,"ci","1",26,8.895
197,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","7,3,5",3,6,0,-1,2200,"ci","1",8,6.548
198,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","5,10,2",2,7,-1,0,400,"ci","1",21,11.612
199,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","5,3,8,10,2",4,5,-1,0,-1400,"ci","1",3,7.678
200,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","null",0,2,0,-8,-1520,"ci","1",16,13.418
201,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10,8,3",3,3,0,-4,-1480,"ci","1",29,5.604
202,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","7,2,9,4",4,5,0,-1,-1320,"ci","1",11,6.822
203,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10,3,9,5",4,6,0,0,-1120,"ci","1",24,6.535
204,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","2,9,3,8",4,6,0,0,-920,"ci","1",6,7.251
205,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","null",0,5,0,-5,-920,"ci","1",19,10.951
206,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","8,9",2,6,0,-2,-800,"ci","1",1,6.383
207,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","8,7,1,9,5",5,2,0,-3,80,"ci","5",16,51.808
208,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","1,2,3",3,5,0,-2,-680,"ci","1",14,17.254
209,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","2,9,8",2,5,-1,-2,-200,"ci","5",1,16.175
210,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10,9,2,8,4,7",6,3,0,-1,-520,"ci","1",27,11.835
211,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","3,9,8,6",3,6,-1,0,-400,"ci","5",17,15.545
212,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","2,5,4,10,6,8,7",7,2,0,-1,-360,"ci","1",9,7.999
213,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","null",0,4,0,-6,-400,"ci","1",22,7.051
214,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","2,9,4,5",4,4,0,-2,-280,"ci","5",2,17.124
215,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","5,8,6",1,6,-2,-1,-920,"ci","5",18,8.078
216,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","4",1,7,0,-2,-280,"ci","1",4,17.639
217,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","5,2,8,3",4,6,0,0,-720,"ci","5",3,9.562
218,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","9,3",2,7,0,-1,-120,"ci","1",17,7.667
219,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","10",1,5,0,-4,-680,"ci","5",19,8.785
220,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","4,9,3,1",4,6,0,0,80,"ci","1",30,13.919
221,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","4,7",1,6,-1,-2,-960,"ci","5",4,9.973
222,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","9,6,7,8,4",4,4,-1,-1,-1200,"ci","5",20,6.535
223,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","4,9,6,5",4,3,0,-3,-1120,"ci","5",5,6.112
224,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","4,9,5,3,8,7",5,4,-1,0,-1720,"ci","1",12,9.283
225,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10",1,5,0,-4,-1680,"ci","1",25,12.535
226,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","null",0,5,0,-5,-1680,"ci","1",7,8.533
227,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","9,4,6",3,5,0,-2,-1560,"ci","1",20,10.344
228,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","2,9,5",3,4,0,-3,-1480,"ci","1",2,7.575
229,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","5",1,9,0,0,-1280,"ci","1",15,7.347
230,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10,7,6",2,3,-1,-4,-3240,"ci","1",28,11.28
231,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10",1,4,0,-5,-3240,"ci","1",10,5.935
232,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","5,10,2",2,7,-1,0,-1320,"ci","5",21,72.708
233,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","3,5,6,7",4,5,0,-1,-3080,"ci","1",23,4.878
234,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","2,8,3,9",4,6,0,0,-1120,"ci","5",6,7.729
235,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","null",0,4,0,-6,-1160,"ci","5",22,7.265
236,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","6,5,9",3,3,0,-4,-3040,"ci","1",5,15.237
237,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","6,5",1,7,-1,-1,-4880,"ci","1",18,4.873
238,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","3",1,5,0,-4,-1120,"ci","5",7,8.857
239,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","7,3,6,10,5",5,5,0,0,-920,"ci","5",23,8.071
240,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","5,8",2,1,0,-7,-4960,"ci","5",13,12.99
241,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","3,6,5,1",4,3,0,-3,-4880,"ci","5",26,6.922
242,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","5,3,7",3,6,0,-1,-4720,"ci","5",8,12.298
243,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10,5,2",2,7,-1,0,-4920,"ci","5",21,7.515
244,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10,2,8,3,5",4,5,-1,0,-5120,"ci","5",3,6.039
245,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","null",0,2,0,-8,-5240,"ci","5",16,7.777
246,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","8,3,10",3,3,0,-4,-5200,"ci","5",29,7.327
247,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","4,7,9,2",4,5,0,-1,-5040,"ci","5",11,5.101
248,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","5,2,9,7,3",4,5,-1,0,-1120,"ci","5",8,84.948
249,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10,5,3,9",4,6,0,0,-4840,"ci","5",24,8.038
250,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","10,3,5,9",4,6,0,0,-920,"ci","5",24,5.974
251,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","3,8,2,9",4,6,0,0,-4640,"ci","5",6,7.251
252,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","null",0,5,0,-5,-4640,"ci","5",19,8.149
253,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","8,9",2,6,0,-2,-4520,"ci","5",1,6.767
254,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","1,2,3",3,5,0,-2,-4400,"ci","5",14,5.1
255,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","8,4,6,5,7,10,2,3",8,2,0,0,-720,"ci","5",9,23.923
256,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","2,7,4,8,10,9",6,3,0,-1,-4240,"ci","5",27,11.564
257,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10,6,5,4,8,7,2",7,2,0,-1,-4080,"ci","5",9,11.186
258,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","6,3,10",3,5,0,-2,-600,"ci","5",25,29.391
259,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","null",0,4,0,-6,-4120,"ci","5",22,9.17
260,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","4",1,7,0,-2,-4000,"ci","5",4,13.558
261,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","9,3",2,7,0,-1,-3840,"ci","5",17,6.953
262,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","4,1,9,3",4,6,0,0,-3640,"ci","5",30,6.862
263,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","9,7,4,5,8",4,4,-1,-1,-3880,"ci","5",12,9.774
264,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","2,10,6",3,4,0,-3,-520,"ci","5",10,55.378
265,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10",1,5,0,-4,-3840,"ci","5",25,9.806
266,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","5,6,1,7,3",5,3,0,-2,-400,"ci","5",26,7.535
267,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","null",0,5,0,-5,-3840,"ci","5",7,6.52
268,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","9,4",2,5,0,-3,-3760,"ci","5",20,9.861
269,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","5,9,2",3,4,0,-3,-3680,"ci","5",2,6.998
270,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","5",1,9,0,0,-3480,"ci","5",15,8.469
271,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","7,10,6",2,3,-1,-4,-3840,"ci","5",28,4.628
272,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10,6",2,4,0,-4,-3800,"ci","5",10,8.471
273,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","3,7,6,5",4,5,0,-1,-3640,"ci","5",23,7.39
274,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","5,6",2,3,0,-5,-3640,"ci","5",5,6.778
275,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","6,5",1,7,-1,-1,-3880,"ci","5",18,9.738
276,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad","10,9,4,7,2",5,5,0,0,-200,"ci","5",11,104.894
277,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","10,6",2,5,0,-3,80,"ci","10",25,9.565
278,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","10",1,5,0,-4,120,"ci","10",19,14.561
279,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","8,9,2,4,5",5,1,0,-4,160,"ci","10",13,24.315
280,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","3",1,5,0,-4,200,"ci","10",7,18.497
281,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","9,8,2",2,5,-1,-2,120,"ci","10",1,8.962
282,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","6,1,7,3,5",5,3,0,-2,240,"ci","10",26,8.166
283,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","8,6,9,4,7",4,4,-1,-1,200,"ci","10",20,6.545
284,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","1,2,3",3,5,0,-2,320,"ci","10",14,5.171
285,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","7,2,3,5",3,5,-1,-1,280,"ci","10",8,6.777
286,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","9,5,2",3,4,0,-3,360,"ci","10",2,6.243
287,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","4,8,10,9",4,3,0,-3,440,"ci","10",27,7.356
288,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","10,5,2",2,7,-1,0,440,"ci","10",21,5.871
289,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","5",1,9,0,0,640,"ci","10",15,7.785
290,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","6,4,8,2,7",5,2,0,-3,720,"ci","10",9,12.119
291,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","5,8,2",3,6,0,-1,880,"ci","10",3,6.558
292,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","6",0,3,-1,-6,640,"ci","10",28,4.435
293,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,4,0,-6,600,"ci","10",22,8.225
294,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,2,0,-8,480,"ci","10",16,6.917
295,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","10",1,4,0,-5,480,"ci","10",10,5.311
296,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","4",1,7,0,-2,600,"ci","10",4,4.873
297,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","3,8,10",3,3,0,-4,640,"ci","10",29,5.117
298,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","3,7,5",3,5,0,-2,760,"ci","10",23,5.586
299,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","9,3",2,7,0,-1,920,"ci","10",17,10.915
300,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","2,9,4,7",4,5,0,-1,1080,"ci","10",11,6.605
301,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","5",1,3,0,-6,1040,"ci","10",5,4.105
302,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","1,9,4",3,6,0,-1,1200,"ci","10",30,4.815
303,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","3,5,9",3,6,0,-1,1360,"ci","10",24,5.398
304,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","6",0,7,-1,-2,1280,"ci","10",18,4.202
305,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","8,4",2,5,0,-3,1360,"ci","10",12,6.051
306,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","2,8,3",3,6,0,-1,1520,"ci","10",6,4.485
307,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,5,0,-5,1520,"ci","5",25,5.854
308,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,5,0,-5,1520,"ci","5",19,6.468
309,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","8",1,1,0,-8,1400,"ci","5",13,5.533
310,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,5,0,-5,1400,"ci","5",7,6.12
311,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","9,8",2,6,0,-2,1520,"ci","5",1,7.857
312,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","3",1,3,0,-6,1480,"ci","5",26,4.497
313,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","9",1,5,0,-4,1520,"ci","5",20,2.716
314,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,5,0,-5,1520,"ci","5",14,3.467
315,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","7",1,6,0,-3,1600,"ci","5",8,5.335
316,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","9,5",2,4,0,-4,1640,"ci","5",2,5.629
317,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","7,8,4,10",4,3,0,-3,1720,"ci","5",27,5.244
318,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","5,10",2,8,0,0,1920,"ci","5",21,3.758
319,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","5",1,9,0,0,2120,"ci","5",15,4.817
726,"5c994ca30225a000167bd288","5e3f645ed960941c34413b11","9",1,5,0,-4,2280,"ci","10",20,3.078
320,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","8,6,2,7,5",5,2,0,-3,2200,"ci","5",9,6.203
321,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","8,2,3",3,6,0,-1,2360,"ci","5",3,4.53
322,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","6",0,3,-1,-6,1920,"ci","5",28,6.335
323,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,4,0,-6,1880,"ci","5",22,6.115
324,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,2,0,-8,1760,"ci","5",16,6.922
325,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","10",1,4,0,-5,1760,"ci","5",10,3.702
326,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","4",1,7,0,-2,1880,"ci","5",4,6.632
327,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","3,8,10",3,3,0,-4,1920,"ci","5",29,5.388
328,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","3,5,7",3,5,0,-2,2040,"ci","5",23,4.719
329,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","9",1,7,0,-2,2160,"ci","5",17,5.885
330,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","9,2,7",3,5,0,-2,2280,"ci","5",11,5.402
331,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","5",1,3,0,-6,2240,"ci","5",5,4.165
332,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","1,4,9",3,6,0,-1,2400,"ci","5",30,5.492
333,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","3,5,9,10",4,6,0,0,2600,"ci","5",24,7.069
334,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","6",0,7,-1,-2,2320,"ci","5",18,4.586
335,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","4,7,8,9",4,5,0,-1,2480,"ci","5",12,6.175
336,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","2,3,9,8",4,6,0,0,2680,"ci","5",6,4.455
337,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,5,0,-5,2680,"ci","1",25,2.853
338,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,5,0,-5,2680,"ci","1",19,2.744
339,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,1,0,-9,2520,"ci","1",13,4.026
340,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,5,0,-5,2520,"ci","1",7,2.303
341,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","8",1,6,0,-3,2600,"ci","1",1,3.371
342,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","3",1,3,0,-6,2560,"ci","1",26,5.268
343,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,5,0,-5,2560,"ci","1",20,4.009
344,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,5,0,-5,2560,"ci","1",14,2.634
345,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","5",1,6,0,-3,2640,"ci","1",8,3.482
346,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,4,0,-6,2600,"ci","1",2,4.106
347,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","8,4",2,3,0,-5,2600,"ci","1",27,4.353
348,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","5",1,8,0,-1,2760,"ci","1",21,5.484
349,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,9,0,-1,2920,"ci","1",15,5.181
350,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","7,8,6",3,2,0,-5,2920,"ci","1",9,7.272
351,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,6,0,-4,2960,"ci","1",3,5.492
352,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,4,0,-6,2920,"ci","1",28,7.242
353,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,4,0,-6,2880,"ci","1",22,3.573
354,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,2,0,-8,2760,"ci","1",16,2.787
355,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,4,0,-6,2720,"ci","1",10,2.569
356,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,7,0,-3,2800,"ci","1",4,2.672
357,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,3,0,-7,2720,"ci","1",29,3.115
358,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,5,0,-5,2720,"ci","1",23,2.961
359,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,7,0,-3,2800,"ci","1",17,3.023
360,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,5,0,-5,2800,"ci","1",11,3.718
361,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,3,0,-7,2720,"ci","1",5,2.625
362,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,6,0,-4,2760,"ci","1",30,3.006
363,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","3",1,6,0,-3,2840,"ci","1",24,4.177
364,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,8,0,-2,2960,"ci","1",18,2.85
